Dataset,Instance,Status,TT,Temps (s),Gap (%),BestBound,Objective,Sequence
20j_5m,instance_10.csv,OPTIMAL,9846,0.0480,0.00,9846.0,9846.0,1 4 9 5 7 2 15 11 3 16 6 8 12 13 10 14 17 18 19 20
20j_5m,instance_2.csv,OPTIMAL,8985,0.0441,0.00,8985.0,8985.0,1 3 6 10 14 4 19 18 2 16 15 5 8 7 9 11 12 13 17 20
20j_5m,instance_3.csv,OPTIMAL,6532,0.0688,0.00,6532.0,6532.0,1 2 4 3 5 6 8 10 13 15 14 11 7 9 12 16 17 19 18 20
20j_5m,instance_4.csv,OPTIMAL,9630,0.0412,0.00,9630.0,9630.0,1 2 3 4 9 18 6 5 13 14 8 16 12 11 7 10 15 17 19 20
20j_5m,instance_5.csv,OPTIMAL,8647,0.0712,0.00,8647.0,8647.0,1 3 5 8 2 7 9 4 10 12 11 13 6 14 15 16 17 18 19 20
20j_5m,instance_6.csv,OPTIMAL,8679,0.1590,0.00,8679.0,8679.0,1 2 3 20 4 5 8 6 14 7 13 11 17 16 9 10 12 15 18 19
20j_5m,instance_7.csv,OPTIMAL,8448,0.0549,0.00,8448.0,8448.0,1 10 2 14 9 5 13 7 16 15 3 4 17 18 6 8 12 11 19 20
20j_5m,instance_8.csv,OPTIMAL,6759,0.0832,0.00,6759.0,6759.0,1 12 2 3 6 4 11 9 5 10 7 8 17 13 14 15 16 18 19 20
20j_5m,instance_9.csv,OPTIMAL,7916,0.0852,0.00,7916.0,7916.0,1 4 5 15 2 7 8 10 13 3 9 12 11 14 16 6 17 18 19 20
20j_5m,instance_1.csv,OPTIMAL,0,0.0781,0.00,0.0,0.0,3 4 6 7 8 9 13 17 16 2 11 14 15 12 1 5 10 19 20 18
20j_5m,instance_10.csv,OPTIMAL,0,0.0671,0.00,0.0,0.0,2 4 5 9 12 16 15 1 7 11 3 8 10 13 18 19 17 20 6 14
20j_5m,instance_2.csv,OPTIMAL,0,0.0819,0.00,0.0,0.0,1 12 14 2 3 6 10 4 19 15 16 17 18 20 5 7 9 8 11 13
20j_5m,instance_3.csv,OPTIMAL,304,14.1059,0.00,304.0,304.0,3 4 15 5 9 11 14 13 10 6 8 16 19 1 2 7 18 20 17 12
20j_5m,instance_4.csv,OPTIMAL,3,0.1979,0.00,3.0,3.0,1 7 11 12 16 18 14 2 13 3 4 9 6 5 8 17 20 10 15 19
20j_5m,instance_5.csv,OPTIMAL,0,0.0969,0.00,0.0,0.0,3 5 4 7 9 10 12 8 1 2 6 11 13 18 19 20 15 17 14 16
20j_5m,instance_6.csv,FEASIBLE,159,2.1030,95.60,7.0,159.0,2 6 13 14 20 11 1 5 3 4 7 8 16 17 9 12 18 10 19 15
20j_5m,instance_7.csv,OPTIMAL,50,0.2775,0.00,50.0,50.0,5 15 16 1 10 2 7 9 13 14 18 4 17 8 11 12 3 19 20 6
20j_5m,instance_8.csv,UNKNOWN,,0.1210,,,,
20j_5m,instance_9.csv,FEASIBLE,1054,0.2246,100.00,0.0,1054.0,1 3 4 5 7 10 15 6 11 14 16 13 18 20 19 17 9 8 12 2
20j_5m,instance_1.csv,OPTIMAL,0,0.0784,0.00,0.0,0.0,3 4 6 7 8 9 13 17 16 2 11 14 15 12 1 5 10 19 20 18
20j_5m,instance_10.csv,OPTIMAL,0,0.0662,0.00,0.0,0.0,2 4 5 9 12 16 15 1 7 11 3 8 10 13 18 19 17 20 6 14
20j_5m,instance_2.csv,OPTIMAL,0,0.0838,0.00,0.0,0.0,1 12 14 2 3 6 10 4 19 15 16 17 18 20 5 7 9 8 11 13
20j_5m,instance_3.csv,OPTIMAL,304,12.9792,0.00,304.0,304.0,3 4 15 5 9 11 14 13 10 6 8 16 19 1 2 7 18 20 17 12
20j_5m,instance_4.csv,OPTIMAL,3,0.3261,0.00,3.0,3.0,1 7 11 12 16 18 14 2 13 3 4 9 6 5 8 17 20 10 15 19
20j_5m,instance_5.csv,OPTIMAL,0,0.1040,0.00,0.0,0.0,3 5 4 7 9 10 12 8 1 2 6 11 13 18 19 20 15 17 14 16
20j_5m,instance_6.csv,OPTIMAL,144,5.8766,0.00,144.0,144.0,1 2 11 13 14 20 5 3 4 6 8 7 16 17 9 12 18 15 19 10
20j_5m,instance_7.csv,OPTIMAL,50,0.2785,0.00,50.0,50.0,5 15 16 1 10 2 7 9 13 14 18 4 17 8 11 12 3 19 20 6
20j_5m,instance_8.csv,FEASIBLE,498,33.9183,76.31,118.0,498.0,1 6 12 2 17 3 4 9 11 5 10 7 13 14 16 18 8 19 20 15
20j_5m,instance_1.csv,OPTIMAL,48,0.3206,0.00,48.0,48.0,3 5 6 8 9 13 17 7 16 2 11 14 15 12 1 4 10 19 18 20
20j_5m,instance_10.csv,OPTIMAL,0,0.0726,0.00,0.0,0.0,2 4 7 11 9 5 12 15 3 6 10 13 16 19 17 20 1 18 8 14
20j_5m,instance_2.csv,OPTIMAL,14,0.2140,0.00,14.0,14.0,1 2 4 6 10 14 20 3 18 19 5 12 15 17 7 9 16 8 11 13
20j_5m,instance_3.csv,OPTIMAL,361,16.3045,0.00,361.0,361.0,1 3 4 15 11 14 19 6 5 13 10 8 16 2 7 18 20 9 17 12
20j_5m,instance_4.csv,OPTIMAL,26,0.3663,0.00,26.0,26.0,1 2 3 4 9 13 18 8 16 14 5 6 7 10 11 12 17 20 15 19
20j_5m,instance_5.csv,OPTIMAL,36,0.2363,0.00,36.0,36.0,3 5 4 9 10 12 7 8 1 6 11 13 15 18 19 20 17 2 14 16
20j_5m,instance_6.csv,OPTIMAL,14,0.6142,0.00,14.0,14.0,1 2 6 11 14 20 17 13 5 3 4 7 8 16 9 10 12 18 15 19
20j_5m,instance_7.csv,OPTIMAL,37,0.4274,0.00,37.0,37.0,2 5 15 16 10 14 1 8 11 12 19 3 17 18 4 6 7 9 13 20
20j_5m,instance_8.csv,FEASIBLE,531,0.7744,99.44,3.0,531.0,1 6 12 2 17 4 9 11 5 10 3 7 13 16 18 14 8 15 19 20
20j_5m,instance_9.csv,FEASIBLE,208,0.4986,99.52,1.0,208.0,1 2 4 5 7 15 3 10 6 8 13 16 11 12 18 20 19 17 9 14
20j_5m,instance_1.csv,OPTIMAL,0,0.0786,0.00,0.0,0.0,3 4 5 7 8 9 17 19 2 6 11 12 13 14 15 1 16 20 10 18
20j_5m,instance_10.csv,OPTIMAL,0,0.0760,0.00,0.0,0.0,2 4 7 11 9 5 16 12 15 1 17 19 8 10 13 6 18 20 14 3
20j_5m,instance_2.csv,OPTIMAL,0,0.0801,0.00,0.0,0.0,1 2 3 10 14 6 4 18 19 20 5 7 9 8 12 15 16 17 11 13
20j_5m,instance_3.csv,FEASIBLE,347,20.6081,51.59,168.0,347.0,1 16 19 11 13 15 2 4 3 10 5 6 8 7 9 14 12 18 20 17
20j_5m,instance_4.csv,OPTIMAL,26,0.2756,0.00,26.0,26.0,1 2 3 8 16 18 14 13 4 5 6 9 10 11 12 17 20 7 15 19
20j_5m,instance_1.csv,OPTIMAL,4905,3005.1106,0.00,4905.0,4905.0,17 3 15 14 13 12 9 20 8 16 11 6 19 7 1 2 10 5 4 18
20j_5m,instance_10.csv,OPTIMAL,4390,2682.0219,0.00,4390.0,4390.0,19 11 9 16 5 15 12 20 17 7 18 13 10 14 6 4 3 2 1 8
20j_5m,instance_2.csv,OPTIMAL,6257,738.7799,0.00,6257.0,6257.0,19 14 18 10 17 20 3 16 15 12 11 8 6 4 9 2 7 5 1 13
20j_5m,instance_1.csv,FEASIBLE,4794,3400.8153,40.13,2870.0,4794.0,3 17 15 13 12 9 8 19 14 20 16 11 6 1 10 7 4 2 18 5
20j_5m,instance_10.csv,FEASIBLE,4871,0.7616,81.87,883.0,4871.0,15 9 11 7 19 16 5 20 12 17 18 13 10 14 8 4 2 1 6 3
20j_5m,instance_2.csv,UNKNOWN,,0.1836,,,,
20j_5m,instance_1.csv,MODEL_INVALID,,0.0012,,,,
20j_5m,instance_10.csv,MODEL_INVALID,,0.0009,,,,
20j_5m,instance_2.csv,MODEL_INVALID,,0.0008,,,,
20j_5m,instance_3.csv,MODEL_INVALID,,0.0007,,,,
20j_5m,instance_4.csv,MODEL_INVALID,,0.0007,,,,
20j_5m,instance_5.csv,MODEL_INVALID,,0.0007,,,,
20j_5m,instance_6.csv,MODEL_INVALID,,0.0007,,,,
20j_5m,instance_7.csv,MODEL_INVALID,,0.0008,,,,
20j_5m,instance_8.csv,MODEL_INVALID,,0.0006,,,,
20j_5m,instance_9.csv,MODEL_INVALID,,0.0007,,,,
20j_5m,instance_1.csv,MODEL_INVALID,,0.0011,,,,
20j_5m,instance_10.csv,MODEL_INVALID,,0.0007,,,,
20j_5m,instance_2.csv,MODEL_INVALID,,0.0007,,,,
20j_5m,instance_3.csv,MODEL_INVALID,,0.0067,,,,
20j_5m,instance_4.csv,MODEL_INVALID,,0.0007,,,,
20j_5m,instance_5.csv,MODEL_INVALID,,0.0007,,,,
20j_5m,instance_6.csv,MODEL_INVALID,,0.0006,,,,
20j_5m,instance_7.csv,MODEL_INVALID,,0.0006,,,,
20j_5m,instance_8.csv,MODEL_INVALID,,0.0006,,,,
20j_5m,instance_9.csv,MODEL_INVALID,,0.0007,,,,
20j_5m,instance_1.csv,UNKNOWN,,3602.2622,,,,
20j_5m,instance_10.csv,UNKNOWN,,50.4607,,,,
20j_5m,instance_1.csv,OPTIMAL,4651,0.1743,0.00,4651.0,4651.0,17 3 8 9 13 12 11 15 14 1 19 6 20 16 4 2 7 10 5 18
20j_5m,instance_10.csv,OPTIMAL,4108,0.0196,0.00,4108.0,4108.0,11 7 16 5 15 9 12 18 17 19 10 14 8 4 20 13 1 2 6 3
20j_5m,instance_2.csv,OPTIMAL,6039,0.0207,0.00,6039.0,6039.0,14 19 10 6 3 12 16 20 8 18 15 4 2 17 9 11 13 5 7 1
20j_5m,instance_3.csv,OPTIMAL,5423,0.0188,0.00,5423.0,5423.0,3 4 13 15 14 10 16 19 8 20 11 6 9 2 1 18 7 17 5 12
20j_5m,instance_4.csv,OPTIMAL,5453,0.0190,0.00,5453.0,5453.0,13 9 18 16 14 4 6 19 8 20 17 2 12 3 15 11 10 1 5 7
20j_5m,instance_5.csv,OPTIMAL,4698,0.0197,0.00,4698.0,4698.0,3 5 8 12 10 20 1 19 9 18 7 15 13 17 16 11 14 4 6 2
20j_5m,instance_6.csv,OPTIMAL,4938,0.0190,0.00,4938.0,4938.0,20 2 14 8 17 5 3 1 11 7 16 18 4 13 10 6 12 9 15 19
20j_5m,instance_7.csv,OPTIMAL,4647,0.0220,0.00,4647.0,4647.0,5 14 10 16 1 18 17 19 4 15 2 7 9 12 20 13 8 11 3 6
20j_5m,instance_8.csv,OPTIMAL,4284,0.0201,0.00,4284.0,4284.0,6 12 17 1 2 3 9 11 10 14 4 7 15 16 13 5 20 18 19 8
20j_5m,instance_9.csv,OPTIMAL,5961,0.0240,0.00,5961.0,5961.0,15 4 10 7 16 5 13 8 12 2 1 14 9 20 6 11 18 17 19 3
20j_5m,instance_1.csv,FEASIBLE,4455,47.9645,100.00,0.0,4455.0,3 17 9 15 8 13 12 11 14 1 19 6 7 20 16 4 2 10 5 18
20j_5m,instance_10.csv,FEASIBLE,4017,0.4962,100.00,0.0,4017.0,11 7 16 5 15 12 9 18 17 19 10 14 20 13 1 2 6 3 4 8
20j_5m,instance_2.csv,UNKNOWN,,0.0793,,0.0,0.0,
20j_5m,instance_3.csv,UNKNOWN,,0.0466,,0.0,0.0,
20j_5m,instance_4.csv,UNKNOWN,,0.0355,,0.0,0.0,
20j_5m,instance_5.csv,UNKNOWN,,0.0421,,0.0,0.0,
20j_5m,instance_6.csv,FEASIBLE,4938,0.3028,100.00,0.0,4938.0,20 2 14 8 17 5 3 1 11 7 16 18 4 13 10 6 12 9 15 19
20j_5m,instance_7.csv,UNKNOWN,,0.0701,,0.0,0.0,
20j_5m,instance_8.csv,UNKNOWN,,0.0706,,0.0,0.0,
20j_5m,instance_9.csv,UNKNOWN,,0.0712,,0.0,0.0,
20j_5m,instance_1.csv,FEASIBLE,4794,210.0413,79.70,973.0,4794.0,3 17 15 13 12 9 8 19 14 20 16 11 6 1 10 7 4 2 18 5
20j_5m,instance_10.csv,UNKNOWN,,0.0571,,0.0,0.0,
20j_5m,instance_2.csv,FEASIBLE,8152,0.1424,77.47,1837.0,8152.0,20 19 14 18 17 16 15 10 12 9 11 8 7 6 5 13 4 3 2 1
20j_5m,instance_3.csv,UNKNOWN,,0.0477,,0.0,0.0,
20j_5m,instance_4.csv,UNKNOWN,,0.0189,,0.0,0.0,
20j_5m,instance_5.csv,UNKNOWN,,0.0241,,0.0,0.0,
20j_5m,instance_6.csv,UNKNOWN,,0.0243,,0.0,0.0,
20j_5m,instance_7.csv,UNKNOWN,,0.0341,,0.0,0.0,
20j_5m,instance_8.csv,UNKNOWN,,0.0338,,0.0,0.0,
20j_5m,instance_9.csv,UNKNOWN,,0.0457,,0.0,0.0,
20j_5m,instance_1.csv,FEASIBLE,4794,26.9968,88.97,529.0,4794.0,3 17 15 13 12 9 8 19 14 20 16 11 6 1 10 7 4 2 18 5
20j_5m,instance_10.csv,UNKNOWN,,0.0886,,725.0,81564.0,
20j_5m,instance_2.csv,UNKNOWN,,0.0817,,1837.0,88530.0,
20j_5m,instance_3.csv,UNKNOWN,,0.0414,,0.0,0.0,
20j_5m,instance_4.csv,UNKNOWN,,0.0436,,0.0,0.0,
20j_5m,instance_5.csv,UNKNOWN,,0.0313,,0.0,0.0,
20j_5m,instance_6.csv,UNKNOWN,,0.0425,,0.0,0.0,
20j_5m,instance_7.csv,UNKNOWN,,0.0644,,0.0,0.0,
20j_5m,instance_8.csv,UNKNOWN,,0.0587,,0.0,0.0,
20j_5m,instance_1.csv,FEASIBLE,4794,170.9330,84.00,767.0,4794.0,3 17 15 13 12 9 8 19 14 20 16 11 6 1 10 7 4 2 18 5
20j_5m,instance_10.csv,FEASIBLE,6575,0.2073,88.97,725.0,6575.0,11 19 16 15 9 20 18 12 17 14 13 10 8 5 7 4 2 6 1 3
20j_5m,instance_2.csv,UNKNOWN,,0.0568,,0.0,0.0,
20j_5m,instance_3.csv,UNKNOWN,,0.0329,,0.0,0.0,
20j_5m,instance_4.csv,FEASIBLE,5581,5.1672,86.44,757.0,5581.0,18 13 9 16 14 4 20 17 12 19 15 8 6 11 10 7 3 2 1 5
20j_5m,instance_5.csv,UNKNOWN,,0.0403,,0.0,0.0,
20j_5m,instance_6.csv,UNKNOWN,,0.0297,,0.0,0.0,
20j_5m,instance_7.csv,UNKNOWN,,0.0242,,0.0,0.0,
20j_5m,instance_8.csv,UNKNOWN,,0.0208,,0.0,0.0,
20j_5m,instance_9.csv,UNKNOWN,,0.0075,,0.0,0.0,
20j_5m,instance_1.csv,FEASIBLE,6338,600.5273,,6338.0,6338,15 17 13 1 20 16 14 5 3 4 2 8 9 18 19 6 7 10 12 11
20j_5m,instance_1.csv,FEASIBLE,5019,600.5222,,5019.0,5019,9 15 17 3 13 20 16 14 6 19 1 18 7 8 12 11 2 4 10 5
20j_5m,instance_10.csv,UNKNOWN,,,,,,
20j_5m,instance_1.csv,OPTIMAL,4794,343.4256,0.00,4794.0,4794.0,3 17 15 13 12 9 8 19 14 20 16 11 6 1 10 7 4 2 18 5
20j_5m,instance_10.csv,OPTIMAL,4304,66.2417,0.00,4304.0,4304.0,19 11 9 16 5 15 12 20 17 7 18 13 10 14 6 4 2 1 3 8
20j_5m,instance_2.csv,OPTIMAL,6115,394.6012,0.80,6066.0,6115.0,19 14 20 18 10 3 17 15 16 12 11 8 6 4 9 2 7 5 1 13
20j_5m,instance_3.csv,FEASIBLE,5443,161.0399,24.10,4131.0,5443.0,15 19 14 13 16 11 4 17 10 3 20 18 12 2 9 8 6 1 7 5
20j_5m,instance_1.csv,OPTIMAL,4794,493.4392,0.00,4794.0,4794.0,3 17 15 13 12 9 8 19 14 20 16 11 6 1 10 7 4 2 18 5
20j_5m,instance_10.csv,FEASIBLE,4304,27.3412,22.00,3357.0,4304.0,19 11 9 16 5 15 12 20 17 7 18 13 10 14 6 4 2 1 3 8
20j_5m,instance_2.csv,FEASIBLE,8518,0.4639,68.76,2661.0,8518.0,19 18 17 14 16 20 15 10 13 12 11 8 9 6 4 3 2 7 5 1
20j_5m,instance_1.csv,FEASIBLE,4363,601.8067,25.28,3260.0,4363.0,3 17 9 15 8 13 12 19 14 1 16 6 2 7 11 4 10 5 18 20
20j_5m,instance_10.csv,FEASIBLE,4552,23.9692,43.15,2588.0,4552.0,5 10 16 9 18 12 19 15 20 11 7 17 2 1 3 14 13 6 4 8
20j_5m,instance_2.csv,FEASIBLE,7863,0.7609,56.03,3457.0,7863.0,19 14 20 3 18 16 4 1 2 5 9 8 7 6 10 11 12 13 15 17
